asset_type,ticker,starting_capital,target_net_profit_percent,required_reference_price_rise_percent,final_total_wealth,final_profit_loss,return_percent,buy_and_hold_final_wealth,buy_and_hold_return_percent,buys,sales,open_lots,unrealized_pnl_on_open_lots,participation_percent_of_eligible_minutes,average_holding_minutes_closed,maximum_drawdown_percent,eligible_minutes,trading_sessions,first_close,final_close,underlying_price_change_percent,first_timestamp,final_timestamp,buy_and_hold_profit_loss,initial_capital,final_cash,open_lot_cost_basis,open_liquidation_value,skipped_buys,realized_profit_before_final_liquidation,max_open_lots,maximum_holding_minutes_closed,oldest_open_lot_age_minutes,closed_within_1_hour_percent,closed_within_1_day_percent,closed_within_7_days_percent,closed_within_30_days_percent,maximum_drawdown_timestamp
stock,AAPL,300,1.0,1.222444666889122,336.12324522086135,36.12324522086135,12.041081740287108,361.7506322692252,20.583544089741746,8891,8506,385,-48.93675477912433,9.09574522501509,16320.794027745122,20.331103201432178,97749,251,141.6808,171.22,20.849119993675913,1664544600,1696017540,61.75063226922521,300.0,0.059999999985706154,385.0,336.0632452208757,88858,85.06000000000661,385,207496,103914,1.01105102280743,18.30472607571126,59.98118974841289,95.52080884081825,1672769820
stock,AAPL,300,2.0,2.2246470893335424,352.43591080694057,52.43591080694057,17.47863693564686,361.7506322692252,20.583544089741746,5519,5117,402,-49.904089193059576,5.64609356617459,27542.831541919095,20.916558199029964,97749,251,141.6808,171.22,20.849119993675913,1664544600,1696017540,61.75063226922521,300.0,0.3400000000001455,402.0,352.0959108069404,92230,102.33999999999678,402,208825,131048,0.21496970881375807,4.436193081883916,46.45299980457299,93.66816494039476,1672769820
stock,AAPL,300,3.0,3.226849511778007,354.7399006879608,54.73990068796081,18.246633562653614,361.7506322692252,20.583544089741746,3780,3379,401,-46.63009931204061,3.867047233219777,39918.94909736609,20.880343536044478,97749,251,141.6808,171.22,20.849119993675913,1664544600,1696017540,61.75063226922521,300.0,0.37000000000142563,401.0,354.3699006879594,93969,101.37000000000307,401,221513,131419,0.0,0.02959455460195324,22.4030778336786,85.64664101805268,1672769820
stock,AAPL,300,4.0,4.22905193422245,354.2902593203187,54.29025932031868,18.0967531067729,361.7506322692252,20.583544089741746,2935,2534,401,-47.069740679681615,3.002588261772499,53388.34846093133,21.08695468951665,97749,251,141.6808,171.22,20.849119993675913,1664544600,1696017540,61.75063226922521,300.0,0.36000000000026944,401.0,353.9302593203184,94814,101.36000000000465,401,221790,131429,0.0,0.0,14.404104183109707,78.33464877663772,1672769820
stock,AAPL,300,5.0,5.2312543566669145,356.54020073584206,56.54020073584206,18.846733578614018,361.7506322692252,20.583544089741746,2448,2046,402,-45.75979926416147,2.504373446275665,64829.61632453568,21.06037876785388,97749,251,141.6808,171.22,20.849119993675913,1664544600,1696017540,61.75063226922521,300.0,0.30000000000350724,402.0,356.2402007358385,95301,102.29999999999633,402,225880,134303,0.0,0.0,10.948191593352883,51.857282502443795,1672769820
stock,AAPL,300,6.0,6.233456779111335,358.3933054445514,58.3933054445514,19.46443514818379,361.7506322692252,20.583544089741746,2091,1690,401,-43.00669455544897,2.1391523186937973,76924.88047337277,21.1203200914547,97749,251,141.6808,171.22,20.849119993675913,1664544600,1696017540,61.75063226922521,300.0,0.4000000000003965,401.0,357.993305444551,95658,101.40000000000232,401,214226,135492,0.0,0.0,0.0,40.76923076923077,1672769820
stock,AAPL,300,7.000000000000001,7.2356592015558,358.87164354085905,58.871643540859054,19.62388118028635,361.7506322692252,20.583544089741746,1745,1351,394,-35.698356459140655,1.7851845031662728,93163.58549222798,21.120320091454687,97749,251,141.6808,171.22,20.849119993675913,1664544600,1696017540,61.75063226922521,300.0,0.5699999999996983,394.0,358.30164354085935,96004,94.56999999999726,394,249165,153005,0.0,0.0,0.0,23.686158401184308,1672769820
stock,AAPL,300,8.0,8.237861624000242,354.4818305796511,54.4818305796511,18.160610193217043,361.7506322692252,20.583544089741746,1521,1131,390,-35.99816942034954,1.5560261486051008,109405.24756852342,21.088811937886536,97749,251,141.6808,171.22,20.849119993675913,1664544600,1696017540,61.75063226922521,300.0,0.4800000000006648,390.0,354.00183057965046,96228,90.47999999999843,390,266379,167426,0.0,0.0,0.0,26.967285587975244,1672769820
stock,AAPL,300,9.0,9.240064046444685,356.41259093057806,56.41259093057806,18.804196976859355,361.7506322692252,20.583544089741746,1371,983,388,-32.05740906942191,1.4025718933186018,124818.34486266531,20.934006517459313,97749,251,141.6808,171.22,20.849119993675913,1664544600,1696017540,61.75063226922521,300.0,0.4699999999999971,388.0,355.9425909305781,96378,88.47000000000209,388,271974,167429,0.0,0.0,0.0,30.51881993896236,1672769820
stock,AAPL,300,10.0,10.242266468889127,354.79356035586454,54.79356035586454,18.26452011862152,361.7506322692252,20.583544089741746,1392,993,399,-44.50643964413672,1.4240554890587116,131612.69687814702,20.90419664597899,97749,251,141.6808,171.22,20.849119993675913,1664544600,1696017540,61.75063226922521,300.0,0.3000000000012619,399.0,354.4935603558633,96357,99.29999999999863,399,272103,141275,0.0,0.0,0.0,29.60725075528701,1672769820
stock,AMZN,300,1.0,1.222444666889122,303.052961562365,3.052961562364999,1.0176538541216695,333.6508478609107,11.216949286970234,4959,4613,346,-43.07703843762249,5.072159887080772,33895.43203988727,33.26486790265953,97769,251,114.03,127.1,11.461895992282734,1664544600,1696017540,33.65084786091069,300.0,0.12999999998751832,346.0,302.9229615623775,92810,46.12999999999939,346,347010,23335,5.050942987210059,28.159549100368523,64.38326468675483,86.01777585085628,1673016300
stock,AMZN,300,2.0,2.2246470893335424,306.92730760589734,6.92730760589734,2.3091025352991235,333.6508478609107,11.216949286970234,2753,2405,348,-41.1726923941045,2.8158209657457887,62397.973804573805,33.27483998003797,97769,251,114.03,127.1,11.461895992282734,1664544600,1696017540,33.65084786091069,300.0,0.10000000000186304,348.0,306.8273076058955,95016,48.10000000000192,348,347037,80953,0.2494802494802495,5.945945945945946,24.074844074844076,78.08731808731808,1673016300
stock,AMZN,300,3.0,3.226849511778007,310.9132856772225,10.913285677222518,3.6377618924074984,333.6508478609107,11.216949286970234,2057,1706,351,-40.26671432277345,2.1039388763309432,84966.82825322391,33.34683031714244,97769,251,114.03,127.1,11.461895992282734,1664544600,1696017540,33.65084786091069,300.0,0.17999999999594962,351.0,310.73328567722655,95712,51.18000000000118,351,352875,81022,0.0,0.05861664712778429,17.64361078546307,75.43962485345838,1673016300
stock,AMZN,300,4.0,4.22905193422245,319.0856538146666,19.085653814666614,6.361884604888868,333.6508478609107,11.216949286970234,1789,1432,357,-38.194346185334496,1.8298233591424684,97713.47276536313,33.344103672651265,97769,251,114.03,127.1,11.461895992282734,1664544600,1696017540,33.65084786091069,300.0,0.2800000000011096,357.0,318.8056538146655,95980,57.27999999999896,357,362849,81029,0.0,0.0,20.949720670391063,71.43854748603351,1673016300
stock,AMZN,300,5.0,5.2312543566669145,325.38623356487886,25.386233564878864,8.462077854959627,333.6508478609107,11.216949286970234,1652,1288,364,-39.01376643512441,1.6896971432662704,109859.82686335404,33.33852291641251,97769,251,114.03,127.1,11.461895992282734,1664544600,1696017540,33.65084786091069,300.0,0.4000000000032511,364.0,324.9862335648756,96117,64.39999999999849,364,375862,81029,0.0,0.0,23.29192546583851,69.02173913043478,1673016300
